frase,emocao
Estou me afastando de tudo,tristeza
Queria fugir da realidade,tristeza
As pessoas não entendem minha dor,tristeza
Estou esgotado emocionalmente,tristeza
Nada me motiva mais,tristeza
Queria dormir e não acordar,tristeza
Me sinto um fracasso,tristeza
Não encontro paz em lugar nenhum,tristeza
A solidão virou minha companhia,tristeza
Me perdi de mim mesmo,tristeza
Tudo que faço parece errado,tristeza
Sinto que nunca vou ser suficiente,tristeza
As coisas que amo perderam o brilho,tristeza
Estou quebrado por dentro,tristeza
Não sei mais quem sou,tristeza
As dores antigas voltaram,tristeza
A vida está me desgastando,tristeza
Sinto como se estivesse vazio,tristeza
Os sorrisos são todos falsos,tristeza
Estou cercado de escuridão,tristeza
Nada me preenche mais,tristeza
Sinto falta de sentir alegria,tristeza
Cada passo custa demais,tristeza
O mundo me parece hostil,tristeza
Não sei mais como continuar,tristeza
A dor me acompanha sempre,tristeza
Sinto que estou caindo,tristeza
As palavras machucam muito,tristeza
Queria entender o que está acontecendo,tristeza
A vida perdeu o sabor,tristeza
Estou me apagando aos poucos,tristeza
Sinto saudade de tempos melhores,tristeza
A vontade de desistir é constante,tristeza
Estou cansado de recomeçar,tristeza
Nada me satisfaz,tristeza
Me sinto pequeno diante do mundo,tristeza
Não vejo mais beleza nas coisas,tristeza
Tudo é motivo para tristeza,tristeza
Estou vivendo no automático,tristeza
Sinto que estou preso em mim,tristeza
A tristeza é constante e silenciosa,tristeza
Meu coração está em silêncio,tristeza
Não consigo mais me importar,tristeza
Tudo que me resta é dor,tristeza
Queria ter forças para mudar,tristeza
A vida segue e eu fico para trás,tristeza
Sinto que estou desaparecendo aos poucos,tristeza
Tudo parece tão pesado,tristeza
Não tenho vontade de sair da cama,tristeza
As dores não têm fim,tristeza
O peso é grande demais para suportar,tristeza
A saudade é insuportável,tristeza
Me sinto como um fantasma,tristeza
As esperanças morreram,tristeza
Estou tentando mas não está dando certo,tristeza
Tudo é cinza na minha mente,tristeza
O mundo gira e eu fico parado,tristeza
Me afasto para não preocupar ninguém,tristeza
Minhas lágrimas secaram,tristeza
Sinto frio mesmo no calor,tristeza
Não sou mais quem costumava ser,tristeza
Tudo me fere,tristeza
O passado me assombra,tristeza
Cada lembrança dói mais,tristeza
Não tenho mais ânimo para viver,tristeza
O tempo só piora tudo,tristeza
Me sinto invisível,tristeza
Ninguém me nota de verdade,tristeza
Queria poder gritar e ser ouvido,tristeza
Estou à deriva,tristeza
Sinto que tudo é perda,tristeza
As noites me esmagam,tristeza
Nada me consola,tristeza
Perdi minha essência,tristeza
Só queria paz,tristeza
Estou cansado de lutar,tristeza
O sol brilha em meu rosto,felicidade
Meu coração está cheio de alegria,felicidade
Sinto uma paz interior profunda,felicidade
A vida é um presente valioso,felicidade
Cada dia é uma nova bênção,felicidade
A felicidade é simples e pura,felicidade
O sorriso é o reflexo da minha alma,felicidade
A gratidão me traz muita alegria,felicidade
A vida é cheia de cores vibrantes,felicidade
Sinto que posso conquistar o mundo,felicidade
A leveza em meu ser é incrível,felicidade
O futuro parece radiante e brilhante,felicidade
Tudo está em perfeita harmonia,felicidade
A alegria contagia todos ao redor,felicidade
Encontrei a paz que procurava,felicidade
A vida é maravilhosa,felicidade
Meu espírito está livre e leve,felicidade
A felicidade está nos pequenos detalhes,felicidade
Estou em êxtase com a vida,felicidade
Sinto uma alegria profunda,felicidade
O mundo parece mais bonito hoje,felicidade
A vida me surpreende a cada instante,felicidade
O coração bate em ritmo de festa,felicidade
A felicidade é meu estado de ser,felicidade
Agradeço por cada momento,felicidade
Estou radiante de contentamento,felicidade
A vida é uma jornada feliz,felicidade
A alegria é o meu guia,felicidade
Meu dia está perfeito,felicidade
Sinto uma energia positiva,felicidade
A vida me sorri de volta,felicidade
A felicidade é um abraço quente,felicidade
Estou em paz comigo mesmo,felicidade
A alegria de viver é imensa,felicidade
O mundo é um lugar feliz,felicidade
A vida é feita de momentos bons,felicidade
Sinto-me completo e realizado,felicidade
A felicidade é real,felicidade
A vida é um canto de alegria,felicidade
Estou vivendo plenamente,felicidade
A alegria é minha única verdade,felicidade
Meu coração está cheio de luz,felicidade
A vida é uma doce surpresa,felicidade
A felicidade é a melhor escolha,felicidade
O riso é a minha melodia,felicidade
A vida é linda e cheia de bênçãos,felicidade
A alegria me impulsiona,felicidade
Estou nas nuvens de felicidade,felicidade
A vida é um milagre,felicidade
Sinto-me abençoado,felicidade
A felicidade me inspira,felicidade
A vida é um presente,felicidade
A alegria me aquece a alma,felicidade
Estou feliz com o que sou,felicidade
A felicidade é meu porto seguro,felicidade
A vida é uma jornada feliz,felicidade
A alegria me renova,felicidade
Sinto um bem-estar total,felicidade
A vida é um espetáculo,felicidade
A felicidade é um estado de espírito,felicidade
A alegria me fortalece,felicidade
Meu coração está leve,felicidade
A vida é uma dádiva,felicidade
A felicidade é o caminho,felicidade
A alegria é a chave,felicidade
Estou muito grato,felicidade
A felicidade é contagiante,felicidade
A alegria me transforma,felicidade
Sinto uma paz interior,felicidade
A vida é uma festa,felicidade
A felicidade é meu refúgio,felicidade
A alegria me faz brilhar,felicidade
Meu coração é puro contentamento,felicidade
A vida é uma bênção,felicidade
A felicidade é o que me move,felicidade
A alegria é minha razão de ser,felicidade
Estou em êxtase,felicidade
A vida é um paraíso,felicidade
A felicidade me protege,felicidade
A alegria me guia,felicidade
Sinto-me realizado,felicidade
A vida é um sonho bom,felicidade
A felicidade é real e palpável,felicidade
A alegria me ilumina,felicidade
Meu coração está em festa,felicidade
A vida é um presente incrível,felicidade
A felicidade é a melhor sensação,felicidade
A alegria me enche de vida,felicidade
Sinto-me livre e feliz,felicidade
A vida é maravilhosa e cheia de luz,felicidade
A felicidade é a resposta,felicidade
A alegria é a verdade,felicidade
Estou vivendo o sonho,felicidade
A vida é pura felicidade,felicidade
A felicidade me faz voar,felicidade
A alegria é o meu poder,felicidade
Meu coração está leve e solto,felicidade
A vida é um mar de alegria,felicidade
A felicidade é o meu destino,felicidade
A alegria me rodeia,felicidade
Sinto uma paz que acalma,felicidade
A vida é um presente,felicidade
A felicidade está dentro de mim,felicidade
A alegria é meu escudo,felicidade
Estou no topo do mundo,felicidade
A vida é uma jornada feliz,felicidade
A felicidade é o meu lar,felicidade
A alegria é a minha força,felicidade
Meu coração está em paz,felicidade
A vida é um sopro de alegria,felicidade
A felicidade é o meu caminho,felicidade
A alegria é a minha canção,felicidade
Hoje acordei com o coração leve,felicidade
Sorrir tem sido fácil ultimamente,felicidade
Me sinto em paz com a vida,felicidade
Cada dia tem sido uma bênção,felicidade
A alegria tomou conta de mim,felicidade
Tudo está dando certo,felicidade
Me sinto grato por tudo,felicidade
O sol parece mais bonito hoje,felicidade
Meus sonhos estão se realizando,felicidade
Sinto amor em cada detalhe do dia,felicidade
As pequenas coisas me fazem sorrir,felicidade
Tenho motivos para agradecer,felicidade
Estou rodeado de boas energias,felicidade
A vida tem me surpreendido positivamente,felicidade
Estou vivendo momentos incríveis,felicidade
Tudo parece estar no lugar certo,felicidade
Me sinto mais forte a cada dia,felicidade
Sinto que tudo é possível,felicidade
A vida está cheia de boas surpresas,felicidade
Estou cercado por pessoas incríveis,felicidade
A paz interior me encontrou,felicidade
O riso vem fácil e sincero,felicidade
Estou me redescobrindo de forma leve,felicidade
Tenho orgulho da minha jornada,felicidade
O amor está presente em tudo,felicidade
Me sinto completo,felicidade
A beleza da vida está nos detalhes,felicidade
Estou cercado de boas notícias,felicidade
Cada dia é uma nova oportunidade,felicidade
Me sinto vivo como nunca,felicidade
Estou aproveitando cada momento,felicidade
A gratidão me guia,felicidade
O futuro parece promissor,felicidade
Meu coração está em festa,felicidade
Tudo está fluindo como deveria,felicidade
Tenho sorrido sem razão,felicidade
A felicidade está nos gestos simples,felicidade
A vida tem um sabor especial hoje,felicidade
Estou cercado de amor verdadeiro,felicidade
Me sinto acolhido pelo universo,felicidade
O presente tem sido generoso,felicidade
A leveza tomou conta de mim,felicidade
O dia começou com boas vibrações,felicidade
Meu coração transborda gratidão,felicidade
A vida tem sido gentil comigo,felicidade
Sinto paz em cada passo que dou,felicidade
O tempo está passando do jeito certo,felicidade
Tenho mais motivos para sorrir do que chorar,felicidade
Estou exatamente onde queria estar,felicidade
Sinto orgulho das minhas conquistas,felicidade
Meu dia foi cheio de alegrias,felicidade
Me sinto conectado com a vida,felicidade
As boas energias estão por toda parte,felicidade
A felicidade mora dentro de mim,felicidade
Me sinto realizado,felicidade
Tudo tem um brilho especial,felicidade
Hoje tudo parece possível,felicidade
O mundo parece mais bonito,felicidade
As pessoas ao meu redor me inspiram,felicidade
Sinto que estou no caminho certo,felicidade
As coisas boas estão acontecendo,felicidade
O amor próprio me fortalece,felicidade
A vida tem me tratado bem,felicidade
Me sinto abençoado,felicidade
Cada detalhe do dia me anima,felicidade
As cores parecem mais vivas,felicidade
Estou vivendo o agora com alegria,felicidade
Tenho muitos motivos para comemorar,felicidade
Meu sorriso está mais sincero,felicidade
A felicidade está em mim e ao meu redor,felicidade
Tudo está mais leve,felicidade
Me sinto inspirado,felicidade
A paz tem sido constante,felicidade
Sinto uma alegria que não cabe em palavras,felicidade
Me sinto em casa comigo mesmo,felicidade
O amor está em tudo que vejo,felicidade
A vida tem sido uma aventura feliz,felicidade
O som do mundo é mais bonito hoje,felicidade
A felicidade chegou sem avisar,felicidade
Me sinto em equilíbrio,felicidade
Estou rodeado de boas memórias,felicidade
Tudo parece harmonioso,felicidade
Sinto orgulho de quem estou me tornando,felicidade
A esperança me move,felicidade
O carinho das pessoas me emociona,felicidade
Me sinto cercado de ternura,felicidade
A bondade das pessoas me alegra,felicidade
Meu coração está em paz,felicidade
Tenho encontrado motivos para sorrir,felicidade
A natureza me acalma e me inspira,felicidade
Sinto que estou florescendo,felicidade
A felicidade me encontrou,felicidade
Estou em sintonia com o universo,felicidade
A fé tem me sustentado,felicidade
A felicidade está em cada detalhe do dia,felicidade
Me sinto leve como o vento,felicidade
Cada respiração é um presente,felicidade
O brilho do dia me contagia,felicidade
A alegria é contagiante,felicidade
A vida é mais bonita quando sorrimos,felicidade
O amor é a minha motivação,felicidade
Sinto que estou crescendo com leveza,felicidade
A paz me acompanha,felicidade
O bem-estar faz parte da minha rotina,felicidade
Tenho recebido muitas bênçãos,felicidade
Meu caminho está iluminado,felicidade
As boas notícias chegaram,felicidade
Estou colhendo frutos do bem,felicidade
A vida é um presente constante,felicidade
Sinto que mereço cada alegria,felicidade
A positividade é minha aliada,felicidade
A felicidade mora nos pequenos momentos,felicidade
A leveza faz morada em mim,felicidade
O amor está presente em cada gesto,felicidade
Me sinto inteiro e em paz,felicidade
A vida me abraça com carinho,felicidade
Meu coração pulsa com alegria,felicidade
Sinto orgulho das minhas escolhas,felicidade
Me sinto valorizado e amado,felicidade
O dia foi cheio de boas surpresas,felicidade
O universo conspira a meu favor,felicidade
Estou vibrando em alta frequência,felicidade
A energia do bem me rodeia,felicidade
Meu sorriso é verdadeiro,felicidade
Me sinto renovado,felicidade
A alegria mora em mim,felicidade
Estou colhendo coisas boas,felicidade
A paz invadiu meu coração,felicidade
A vida está no seu melhor momento,felicidade
Cada passo me aproxima dos meus sonhos,felicidade
A felicidade está em cada amanhecer,felicidade
A leveza está nos meus pensamentos,felicidade
